42.45812, 7.765192, 171.6571
58.62371, 6.454656, 160.4959
77.6036, 15.92301, 132.3665
85.98443, 22.3321, 120.9129
93.66372, 22.58563, 116.1604
103.1342, 20.24979, 114.0514
113.2326, 15.23147, 110.5609
114.9607, 15.23152, 102.1385
113.9601, 15.23152, 87.54585
107.5322, 15.23144, 74.3491
104.7643, 15.22481, 69.95323
100.3538, 10.53945, 65.17907
96.9679, 10.48992, 62.6608
95.57969, 10.48991, 61.02017
95.55676, 10.48326, 59.90094
89.56841, 5.693316, 55.16244
86.49266, 5.693316, 55.03444
85.42186, 5.686666, 54.00619
83.01482, 5.686666, 50.34358
76.33537, 5.693326, 46.29717
70.19347, 5.689971, 43.52131
64.33036, 5.693316, 42.51107
59.03137, 5.693316, 42.94141
54.75303, 5.693414, 43.60247
52.41119, 5.693316, 43.72047
43.67223, 1.27, 45.11949
23.24399, 1.27, 43.88196
-0.5854169, 1.27, 59.78359
-2.211906, 1.27, 78.46397
6.83863, 1.27, 93.26467
33.52362, 7.664412, 128.1125
47.85886, 7.349872, 143.0442
61.37899, 7.309872, 153.7781
